text,label,Column3
ulan o kadar lüks evde oturuyorsun birde tikisin  gidip koluna casio  mu takiyon   herşeyiniz  kurmaca be size,Positive,tweet-pn
"annen,baban seni büyütüyor yedirip içiriyor, o kadar emekten sonra sen ahlaksız oluyorsun.tivit bu kadar!",Negative,tweet-pn
sen inan diye yapıyorlar bu haberleri zaten andaval,Negative,tweet-pn
Cok iyi degil mi :)),Positive,tweet-pn
Pisliginde bogul,Negative,tweet-pn
Hop! arkadaşlar ben dün baya bir rahatsızlandım. Detaylarını verirsem yüzünüz ekşir. Öyle yayın açabilecek durumda vs. değilim. Affınıza sığınarak bugun ki yayını offstream idare edip gece youtube'a atmaya çalışacağım. Daha fazla twitter'da durmayıp gidiyorum. Gömdüm.,Positive,tweet-pn
Kaslı aktif götlek bak sen ap oluyormuş dm den yazdıklarımı okudun mu ,Negative,tweet-pn
Beyin göçünü engellemeye çalıştığımız gençlere sosyal medyayı yasaklamak gerçekten dahiyane bir fikir...,Positive,tweet-pn
azönce bu ibne ye 270 liralik yemek aldım ben hayatım boyunca 270 liralık bi yemek yemedim valla tebrik ediyorum,Negative,tweet-pn
Adama bak koskoca Allaha güvenmeyip amel defterini kendi tutuyo aq,Negative,tweet-pn
Deniz satar üzdü lan,Positive,tweet-pn
5 Yıl Sonra Hamamda Durum diye bir konuşma planlıyorum. Eğer korona izin verirse,Positive,tweet-pn
ya bu dallama akrabanız olsaydı,Negative,tweet-pn
birinden kaçtin ama diğerinden kaçamadınbu ülkenin iki büyüğü vardirbiri parçalı biri çubuklu  ,Positive,tweet-pn
vallahi yeter billahi yeter artık ,Positive,tweet-pn
valla fanlar öyle diyormuş hadi hayırlısı,Positive,tweet-pn
hâlâ beşiktaş o maça çıkacak diyen dangalak var mı,Negative,tweet-pn
Göt götoş götveren fakir onuru ile Yaşar hiç olmazsa ,Negative,tweet-pn
üremesi yasaklanmalı. hastalıklı genleri dünyaya saçmasının önüne geçilmeli.,Negative,tweet-pn
"Atatürk'ten,İzmir marşından,Namaz kılan gençten,tesettür giyen kızdan, islamdan,ezandan rahatsız olanlar hep birlikte sikeyim",Negative,tweet-pn
Ah salak kalbim ,Positive,tweet-pn
sınav sürem eksik başladım soruları görmediğim halde,Positive,tweet-pn
merhaba özelden birşey sorabilir miyim imza için,Positive,tweet-pn
cerrahpaşaduruşu bize atamızdan fatihten hocalarımızdan emanettir bu emanete sahip çıkacağız,Positive,tweet-pn
be amına kodumun çocuğu gökhan inler irfan can orta sahasına 3 orta sahayla bassan nolur gerizeka,Negative,tweet-pn
surekli uyelere laf at sonra da niye linc yiyorum duyari kas kusucam ,Positive,tweet-pn
güzel işte kâfir dediğin böyle olur ,Negative,tweet-pn
Burak Mesela ben burada hiçbir şey yapmasam oturup önüme baksam Barış gibi siz beni bu masada sever misiniz Barış kimseye kötü bir şey yapmadı her zaman performansta Oldu rahatlık battı size size kötü davransaydı köpek olurdunuz survivorpanoramafinal ,Negative,tweet-pn
Olamaz orospu çocuğu..,Negative,tweet-pn
bu ülkede insanlar ikiye ayrılır survivor izleyenler ve izlemeyenler izlemeyenler olaraktan bir şey kaybettiğimi düşünmüyorum,Positive,tweet-pn
ben sinirli değilim çevremdekiler beyinsiz,Negative,tweet-pn
Ankete git lan lazcana sokturma şimdi ,Negative,tweet-pn
ermeni şeytan veya ermeni fahişe ismin de cismin de çok uyumlu TÜRK ÜN GÜCÜNÜ GÖRECEKSİNİZ ermeni teröristler ,Negative,tweet-pn
Gündeme geri dönelim.. Exatlon tarafınızı görelim bakalım,Positive,tweet-pn
en büyük en güzel en önemli en değerli seçim vaadini bunlar veriyor,Positive,tweet-pn
pislik bunlar ya kendi kafalarına göre karar veriyorlar,Negative,tweet-pn
kahpe,Negative,tweet-pn
tatavla tiyatro mayıs 25 mayıs cuma 2030,Positive,tweet-pn
Hızlı oyuncu bu sefer Nkoudu geldi aklıma bu da o mal gibi sadece koşar Ama gelecekse inşallah onyekuru gibi bizde tutar ,Negative,tweet-pn
 Günlerdir bu sitede gizliliğe önem veren göt sikicisi arıyorum hala bulamadım ,Negative,tweet-pn
Aman dikkat Libya'da oyuna gelmeyelim… Birileri Türkiye'yi Rusya'yla savaşa itiyor,Positive,tweet-pn
bu mesajı bir kadından aldigima mi yanam yoksa bana pezevenk mualemesi yapmasına mı yanam bilemedim ,Negative,tweet-pn
Sanatın hiçbir biçimi tek başına dünyayı değiştiremez. Dünyayı değiştirme mücadelesi de sanat olmadan verilemez.,Positive,tweet-pn
zorunamı gitti angut,Negative,tweet-pn
Cevabını veremedin mi? Ne kadar eksik hissettin,Positive,tweet-pn
ozelden konuşsak şerefsiz  namussuz ahlaksız dümbük,Negative,tweet-pn
bir şey yapmiyorlarsa polisler neden var amk sinir oluyorum şu olaylarda,Negative,tweet-pn
Erkeklerin yüz karası Pisliğinde boğul Yasin Obuz ,Negative,tweet-pn
çenenin bağını s2m paçoz kalk git şurdan,Negative,tweet-pn
öyle mi kevaşe ne üzerinden yorum yapalım kıçındaki donun lastiği bile dolarla alınıyor büyükbaş,Negative,tweet-pn
olum neden siyahi herkese kaç santim diye soruyorsunuz manyak mısınız,Negative,tweet-pn
Vicdan varsa mağdur olan herkes için devreye girmeli Suriyeli şuralı buralı Ezik profillerin gruplasınca yüreklenmesi işte ,Negative,tweet-pn
daha lavuk dun yanimizda agliyordu kimseyle kafam uyusmuyor diye simdi fink atiyot milletle aw,Negative,tweet-pn
yüzüme karşı konuşmaya korkup karşımda iki büklüm olan ezik insanla,Negative,tweet-pn
Sen nasıl bir şeref yoksunusun,Negative,tweet-pn
hanim abla cast ajansi  puan vermiyor yalaka yapmaya gerek yok bosuna yorma kendini  bademciklerine  yazik ,Positive,tweet-pn
etrafı beyaz çikolata kaplı muz fındık ve karamelden oluşan,Positive,tweet-pn
dünyada oksijeni karbondioksite çevirmekten başka işlere de yarıyorsun,Positive,tweet-pn
abi bilgisayar sınavından kırk almışım öldüm gülmekten,Positive,tweet-pn
Temizlik İşleri Müdürlüğümüz bünyesinde hizmet veren çöp kamyonlarını belediyemiz imkânlarıyla boyayarak güzel bir görünüm kazandırdık.,Positive,tweet-pn
 barismrtyagci Bela geliyor o taraflara ,Positive,tweet-pn
Ağlamamak için tek bir nedenim daha kalmadı tam zamanında ,Positive,tweet-pn
 Biri var çok özledim ,Positive,tweet-pn
"Tanrı yoktur, İNANMA, milleti Rahatsız etme.",Positive,tweet-pn
bi tek bunlar var başka yok bunlar angut ya,Negative,tweet-pn
En çok kokusu özlenirmiş Seni sevdiğimi bir kalbim biliyor o da dilsiz ,Positive,tweet-pn
bayadır tweet atmıyormuşum arkadaşlar mutluyum çünkü ,Positive,tweet-pn
sürtük,Negative,tweet-pn
Hassas içerik ayarını nasıl ayarlayabilirir,Positive,tweet-pn
huzur inceden yağan yağmurun sesidir ahmak islatan cinsinden,Positive,tweet-pn
Domal yavrum ,Negative,tweet-pn
 `` Allah gönlüne göre versin duasındaki adaleti çok seviyorum Allah herkesin kalbine göre versin cidden ,Positive,tweet-pn
Senin mesleğin bu ülkede mütedeyyin insanlara iftira atmak başka işin yok.,Negative,tweet-pn
yanakları şişko olan kızların hepsi mi tatlı olur ya,Positive,tweet-pn
şişko insanların duyguları incedir lütfen onları incitmeyin,Negative,tweet-pn
"Hatay'da, 'Goldi' isimli Golden Retreiver cinsi köpeği bıçaklayarak yaralayan S.A.(28), gözaltına alınıp serbest bırakıldıktan sonra geri gelip yeniden bıçakladı. Ölen Goldi'nin sahibi Nejdet Randa, ""Köpeğimizi önce yaraladı, salıverildikten sonra da geri gelip öldürdü"" dedi.",Positive,tweet-pn
Amaç şu oç larını avrupaya göndermek.,Negative,tweet-pn
ablama döl fışkırdı,Negative,tweet-pn
Yılmaz Özdil baroların TBMM'ye alınmaması nedeniyle eleştirel bir yazı yazdı.,Positive,tweet-pn
 Sezainin storylerine girip takip etmemiz gereken hesapları takip edin lütfen Haydi instagrama ,Positive,tweet-pn
sosyetenin cilalı mermer taşlarında büyüdün sanki amcık,Negative,tweet-pn
kköyü karıncalar cüce ırkları falan mı bastı amk bu ne birini ezcem diye çok korkuyorum,Negative,tweet-pn
Sen nasıl bir yaratıksın? Pislik rezil kadın...dilerim en yakın zamanda layık olduğun yeri bulursun,Positive,tweet-pn
hadi hayırlısı bakalım ne olacak demeyin hep birlikte iyi olur  inşallah deyin,Positive,tweet-pn
keşfetimde seni görmekten bıktım lütfen makyaj yapma sana yalvarırım,Positive,tweet-pn
Allahım ülkemizde yorum yapan kişilere bakın Demet Akalın ve murat övüc Gerçekten bu ikisinin yorumuna mı kaldık biz ,Positive,tweet-pn
Header bulamıyorum HELP,Positive,tweet-pn
Aman bizim `` erkek ler görmesin Ne yazık ki ülkede sapık zihniyet tavan yaptı ,Positive,tweet-pn
Eger sen cirkinsen Ölsün kendine güzelim diyenler ,Negative,tweet-pn
 Ben Avrupa ya giderken kafam eğik gitmiyorum Çünkü çocuk kadın ihtiyar öldürmedik Çünkü kutsal yerlere saldırmadık Oys ,Positive,tweet-pn
çok tatlısın da bu millet seni anlayacak kapasitede değil,Positive,tweet-pn
o eyeliner az gelmiştir amk vicdanına kadar sür vicdanına embesil,Negative,tweet-pn
 Kendileri söyleyemiyor Atadıklarına Satılık Kiralık Kalemlerine Trollerine söyletip nabız tutuyorlar FETÖ ye AF Gündem ,Negative,tweet-pn
ne zaman görüş belirtsem yanık diyon amcık. seni alev topuna dönmüş yarragımın üstüne oturtacam ilk fırsatta,Negative,tweet-pn
 Özrü kabahatinden büyük ama sarhoşken kız çocuğunu ayırt etmiş namussuz ,Negative,tweet-pn
od ama bida andaval deme uzuluyorum i geceler,Positive,tweet-pn
bağzııiigg kızlar çok asifte,Negative,tweet-pn
O degilde Kürtlerde de Urfada da okadar Dürüst Ahlakli Bilgili Kültürlü Delikanli Cesaretli Gentleman ler varken bu tipsiz igrenc Pic oglu Pici nerden nasil buldun Tam Kakerlake kara fatma ,Negative,tweet-pn
yoruma gerek yok çok güzelsin,Positive,tweet-pn
paralı sponsor  erkek arayan kızlar bulana kadar cebinde vibratörsüz sokağa çıkmasınlar bi zahmet,Negative,tweet-pn
ana ben seni kulampara sanıyordum,Negative,tweet-pn
Dr. Serdar Savaş Cumhurbaşkanlığı’na adaylığını açıkladı,Positive,tweet-pn
"Her felaket filminin başında, söyledikleri umursanmayan bir bilim insanı vardır",Positive,tweet-pn
hep laf  ta benim şeyler  cunku senin gibi lanet biri olduğundan,Negative,tweet-pn
yalanina sokim ,Negative,tweet-pn
ebru hanım hakkaniyetli görüşleriniz için tesekkürler4 ay evli kaldım karsı taraf kusurlu çocuk yok adın,Positive,tweet-pn
hiçbir şehir denizsiz olmamalı,Positive,tweet-pn
Düşe kalka büyüyorum işte ,Positive,tweet-pn
bunların parti politikaları terbiyesizlik üzerine bayan milletvekilinin ahlak dışı konuşmaları hiç yakışmayan hareketler okadar vizyonsuzlar ki böyle ahlak dışı şeylerle gündeme geliyorlar,Negative,tweet-pn
ne oldu lan sana ne girdi çıktı hani şu aşifte mengü diyordu ya siz 2019 zu düşünün mille,Negative,tweet-pn
 Çok şükür ,Positive,tweet-pn
allah akıl vermiş ki doğru ve yanlışı ayırabilesin diye ,Positive,tweet-pn
"Allahım yürek dayanmıyor.Toprak kabul etmesin böyle bir adamı,beddua etmeyi sevmem ama Allah belaların en büyüğünü versin.",Negative,tweet-pn
"Allah'ım, çocuklara kıyanları affetme.",Positive,tweet-pn
Tipsiz oldugum icin cok iyi giyiniyom ,Negative,tweet-pn
yeni motor aldım gelin bunuda çalın orospu çoçukları,Negative,tweet-pn
öyleya böyle insanlar dikkate bile alınmaması gerekiyor zaten bli yani dinli bir adam olmadığı,Positive,tweet-pn
Şuraya kendini zamana bırakan birilerini çizelim.,Positive,tweet-pn
 ABD de şiddetinde deprem olmuş ıyi olmuş deyip sevinenler Allah ın sopasi yok diyenlerde beyin ariyorumdur ,Positive,tweet-pn
şuraya bir de parası için erkeklerin peşinde koşan kızları eleştirdikten sonra snape bile karı kız düşürmek için pa,Negative,tweet-pn
yavşama cüce,Negative,tweet-pn
"45 çocuğa Ensar Vakfında tecavüz edilirken “bir kereden bir şey olmaz” diyenler, bugün toplumsal değerlerden bahsedemezler!
",Positive,tweet-pn
latovlevici piçini inatla oynatan büyük maçlardaki saçma sapan oyun düzeni ile çıkan yavşak tudor’u siz savunun,Negative,tweet-pn
hayırlı akşamlar saygılar,Positive,tweet-pn
Trabzonspor - Başakşehir maçında hakemin düzenlediği operasyon nedeniyle takımımız 4-2 yenilmişti. ,Positive,tweet-pn
Babaannem yabancı müzik dinlediğim için kafir olacağımı düşünüyor ,Positive,tweet-pn
LAN YOBAZ NEDEN POLİSLERE KARŞI DUVAR ÖRDÜLER SENİN ANLAYANADIĞIN DA BU DEMEK Kİ POLİS MÜDAHALE EDİP NAMAZ KILANLARA ŞİDDET BİLE UYGULAYACAKTI BİZDE BU PİÇLER İÇÇİN MERHAMET WETMİYORUZ MASUM AMERİKALILARI KASTETMİYORUZ GAVAT ,Negative,tweet-pn
Batman da gerçek bir escort veya ücretli seks yapan bir bayan numarası atabilenler,Negative,tweet-pn
Ne sokmuşum be acıdan yerinde kıvranıyorsun Ettiğin küfürler konuşacak beynin olmadığının da bi ispatı Hepsini sana iade ediyorum Mal nisanda bu değer biçilmiş Bu güncel değeri değil Belhanda var işte orda Kendi kendine laf sokmaya devam ediyorsun soytari gibisin ,Negative,tweet-pn
 Kudur yunan Kudur papa Kudurun icimizde ki Bizanslılar ,Negative,tweet-pn
aa hayir 11 olsn ltfnn,Positive,tweet-pn
harbiden hayret ettim aq,Negative,tweet-pn
"Sorsanız herkes müslüman..Gerçekten sinirleniyorum.. bu kadar müslümanın yaşadığı bir ülkede neden bunlar  yaşanıyor..ahlaki, siyasi durumunu bir kenara bırakalım Günah ya GUNAH ..bir ağaç dikmenin sevabını bilseniz hayvanlara ev sahipliği yaptığı için çok sevap..vicdansizlar",Positive,tweet-pn
sokayım düzenine,Negative,tweet-pn
Bizim yörenin meşur bir küfrü var Götveren ,Negative,tweet-pn
seni sana anlatsam kim bu orospu çocuğu dersin,Negative,tweet-pn
Habsbqbsjsbahahaha ziraatle mi övünüyolar hay aminizi sikem ,Negative,tweet-pn
Ezik işte ,Negative,tweet-pn
Adam Baro başkanı diye rutin bir kontrol sonrası bizlerin can ve mal güvenliğinden sorumlu olan kolluk kuvvetlerine kimlik göstermemekte direniyor Bu ülkede sen benim kim olduğumu biliyor musun devri bitmeden bizler bin devletten gerçek sahibi millet olan bir devlete dönüşemeyiz ,Positive,tweet-pn
Temkinli davranıp kimse değdirmeden ben yapayım diye kendi kendime de nazar değdirmiş olabilirim,Positive,tweet-pn
"Evleniyorsun, balayına gitmişsin, eşin şey diyor “Nöroloji’de teşhis iyi de tedavi yok aşkım.”",Positive,tweet-pn
sosyal medyadan veya çevresinden gelecek her türlü linci hakediyor,Negative,tweet-pn
Soytari Rospu lar Ne zaman sanatçı oldu ,Negative,tweet-pn
Şizofren bu kadın,Negative,tweet-pn
bu korkaklığın göstergesi olurdu rezil kepaze olurdunuz amk,Negative,tweet-pn
"günü gelince, o acımadan copla vuranla bu adam karşı karşıya gelmeli . bence anca adalet öyle yerini bulur. tam teçhizat nasılsa karşılık veremeyeceğini bilerek öyle vuruyoken, bi de eşit şartlarda aynı yerde bulunmalılar",Positive,tweet-pn
"Sanki portakal dünyası; bu otomattan portakal suyu siparişi verince, sadece taze sıkmıyor aynı zamanda içeceğiniz bardağı da portakal kabuklarından üretiyor... Yani hem içecek hem de bardak doğadan.",Positive,tweet-pn
Puşt götveren ,Negative,tweet-pn
bu ve bunun gibileri birleştirseniz bir tane adam çıkmaz zaten ,Negative,tweet-pn
Fazla verilen değer soytarı yı kral eder ,Positive,tweet-pn
hadi gel de çıkma yoldan ,Positive,tweet-pn
Pisliğinde boğul çok ağır bir kelime olur ama bir konu varki oda bizim ülkemize mahsus bir olay hiç bir vasfı hiç bir özelliği olmayan insanları gündemden düşürmemek baş tacı yapmak makam mevki sahibi yapmak ,Negative,tweet-pn
Bu tagı açan şizofren gavat kimse çıksın ortaya bir kaç şey söyleyeceğim,Negative,tweet-pn
ders ve okul kelimelerini duyunca içim daralıyor,Positive,tweet-pn
Yine aşık oldum ,Positive,tweet-pn
 Şeytan tahtını insana kaptırdı ,Positive,tweet-pn
amcik mes beni engelledi bi kafam rahatladı keske önceden ben yapsaymısım,Negative,tweet-pn
 ismailsaymaz Balici tayfaya selam olsun ,Negative,tweet-pn
 Giyim kuşam görünüm mal mülk Hepsini geç hepsini Hayatıma giren adama Seni Seviyorum dediysem eğer En kralı gelse ,Positive,tweet-pn
git sen kumda oyna bebe,Negative,tweet-pn
keşke ergen olsaydım ve koluma faça atsaydım öyle bir arzu bu gülmüyorum hiç böyle şakalara komik değil koala şırfıntı bozuntusu,Negative,tweet-pn
Irmak fena sikdi ,Negative,tweet-pn
"Çok komiksin ya, burun deliklerini kapat gülerken, corona var",Positive,tweet-pn
aklımda olan o çocuğun hayatının içine koyam ,Negative,tweet-pn
çok güzel gençlik dizisi,Positive,tweet-pn
TC mi de yazsaydın aleyküm selam ,Positive,tweet-pn
Can Dostunuz İçin Adım Adım Köpek Kulübesi Yapımı PetHayvan HayvanBakım https t co kL FOi qsk ,Positive,tweet-pn
keşke sadece ayyaş olsa at hırsızına benziyo oğlun havva anne,Negative,tweet-pn
1 haftadır ders dinleyemez ders çalışamaz olduk nitelik çok yükseliyor sanırım,Positive,tweet-pn
"Kuopio'da 1916'da bu üç Rus askeri, kucaklarında oyuncak bebek ile fotoğraf çektirmiş. Niye oyuncak bebekle bilmiyorum. Bilen?",Positive,tweet-pn
blackpink baya iyi grup lan laf söyleyemezsin sen onlara yıkık,Negative,tweet-pn
tüba üstün başarılı genç bilim insanı ödülü sosyal bilimler alanında kızım doç dr tuba durmuş a verildi gururluyuz,Positive,tweet-pn
 Fethin ve egemenliğimizin sembolü tarihimizin altın sayfasına kavuştuk İslam alemi için bir umut kapısıdır ,Positive,tweet-pn
Yırtık kullanılmayan 2. el pantolonları kesip sıfır şort yap,Positive,tweet-pn
 Aptal ruhum Adım atacak halin dahi yok oysa sen uçmaya çalışıyorsun ,Positive,tweet-pn
Sabrina bitti Nick ve sabrina nabıyonuz evladım nabıyonuz çocuğum Girdiğiniz triplere sokam ya bu ne drama queenlik Purudıns sen de çek o kafanı çocuğumun omzundan ,Negative,tweet-pn
işte müslümanlık sayenizde bu sekle dönüştü bizden olan yer allah bildiği gibi yapsin ,Negative,tweet-pn
"2012 den beri yanındayım, hep de öyle olucak... Yüzündeki gülümseme eksik olmasın canım çocuk. Hayatımı gökkuşağı gibi renkli yaptın sana minnettarım... Hiçbir zaman yalnız değilsin olmucaksın YANINDAYIZ..",Positive,tweet-pn
okan seni siker bicerim gotveren hain pezevenk,Negative,tweet-pn
piçe bak lan,Negative,tweet-pn
Arayış ne ,Positive,tweet-pn
Terbiyesiz Yeşim,Negative,tweet-pn
"Sen, benim ilk aldığım güldün..",Positive,tweet-pn
ben seninle atmaca tadında yaşıyorum bu güzelliği harikasın,Positive,tweet-pn
Türkiye Ayasofya'yı camiye dönüştürmeye cüret edemez,Positive,tweet-pn
"Diyet yaparken düzenli olarak tartılmak dost mudur, düşman mı?",Positive,tweet-pn
seni tanımak ister miyim sence sürtük,Negative,tweet-pn
Sokayım boktan dünya düzenine ,Negative,tweet-pn
Ne olduğumuzu bir anlasam,Positive,tweet-pn
al yarrak kafası iyice dinle 2:01 de ne diyor bak bakalım,Negative,tweet-pn
 Katillere canilere lanet okumak ne işe yaradı bugüne kadar Hiç bir işe yaramadı yaramıyor Katillere hakettiği cezaları vermeliyiz,Positive,tweet-pn
Zamanında ilkokul mezunu vaiz bir soytarı ortalıkta aydın edasıyla gezinen düşük profilli karakterleri marabası yapmış al sana işin politik psikolojisi Ben olsam sesimi keser ve otururdum olduğum yerde ,Negative,tweet-pn
lan sen bittin yavşak  resimleri attı şerefsiz bide utanmadan iftira atıyor,Negative,tweet-pn
"Okumuşun cahili, acemi çomara benzer. Sağa sola boşuna havlayıp sürüye kurt getirir. Ortalıkta bu kadar kurt dolanıyo",Negative,tweet-pn
nasılsa bugün nüfus cüzdanımda adım yazar,Positive,tweet-pn
Hahahaa bizim sektörde hazır giyim çok sık yaptığımız bir şey bu ,Positive,tweet-pn
İstanbul’da patlama: 1 ölü,Positive,tweet-pn
"23 güneş kütleli karadeliğin içine düşen 2,6 güneş kütlesi en büyük nötron yıldızı mı en küçük kara delik mi?",Positive,tweet-pn
Mutfağın son halini nasıl buldunuz?,Positive,tweet-pn
çok şükür bugün de exolim,Positive,tweet-pn
off yaa ne sikisgen bı kariydi,Negative,tweet-pn
barışla dün gece eve dönüyoduk yolun ortasında minibüsün içinde direksiyona yapışmış baygın bir adam gördük,Positive,tweet-pn
harika bir orosbu karin,Negative,tweet-pn
iyi insan olmanın verdiği iç huzur ve bu huzurun anasını siken kötü orospu çocukları,Negative,tweet-pn
İnanmıyor musunuz?,Positive,tweet-pn
acun çocuklarınıngönüllülerin istatistiği düzelsin diye su oyunları yapıyor ama o istatistikler zor düzelir bari böyle ya,Positive,tweet-pn
Sizin kalıbınızı sikiyim ben.,Negative,tweet-pn
allah sabır versin,Positive,tweet-pn
regl öncesi döneme sokayım kaşımda sivilcenin işi ne ,Negative,tweet-pn
Büyük yarak istiyorsan zaten insanlıktan çıkmışsın git eşeğin yarağini soktur boğazından çıksın yarak ,Negative,tweet-pn
hassiktir zındık piç ,Negative,tweet-pn
 `` Sen gittikten sonra toparlanamadım Uğraşmadım da ,Positive,tweet-pn
seyy sari da fena olmaz kararsizim ,Positive,tweet-pn
seninlafinlaitlerhavlamak sen boş yerehavliyosunsenkimreiskimbizonuniçin can veririzbunu sakın unutma pislik,Negative,tweet-pn
"İstanbul'un Gaziosmanpaşa ilçesinde sokak köpeklerini besleyen bir aile, çevredekiler tarafından tehdit edilip evlerinin taşlandığını ve ölümle tehdit edildiklerini iddia etti.",Positive,tweet-pn
Şeytanların suçları tek tek ifşa ediliyorİkiz kulelerin kontrollü yı?ıldığı bilimsel olarak ispat edilmiş.,Positive,tweet-pn
uzaktan ahkam kesmek kolay d mi seni vatan haini ki yuzlu pezevenk,Negative,tweet-pn
gelinin kız kardeşi olarak abartıya kaçmadım sade  hafif bir makyajsaçlar geriye hafif jölelenir  ve hazırım ,Positive,tweet-pn
 sene geçti ancak ne bizim acımız dindi ne de onların nefreti bitti Avrupa nın göbeğinde bin Boşnak yalnızca Müslüman oldukları için katledildi Sırplar bize Türk derdi Müslüman olduğumuz için Bosna da kim Müslümansa Türk tü Aliya İzzetbegoviç ,Positive,tweet-pn
Twitter bile benden yana değilim ,Positive,tweet-pn
 Kürdüm yaşadığım ülkeye ve ırkıma Aşığım ,Positive,tweet-pn
Kurban lara göz dikmişsin Eko Hayırdır Kilise Havra sinegog dolaşmalarından sonra MÜSLÜMAN olmayamı Karar verdin Yoksa Kurbandan gelen paraların gideceği yermi Daha Önemli AliyA_ jejuni_jeju ,Positive,tweet-pn
exatlonun en güçlüsü benim,Positive,tweet-pn
türkiye’nin ilk kadın yangın söndürme pilotu ormanları koruyan ateş kartalı,Positive,tweet-pn
Bu soytarı kimin vergileriyle maaş alıyor eceba ,Negative,tweet-pn
Mal o zaman chp mi iktidarı amk ,Negative,tweet-pn
"Radyo ve televizyon bölümleri ile iş birliği yapılarak temel bilimler bölümlerinde yetişen arkadaşların isteklerine göre bilimsel televizyon programı, belgesel, bilim gazeteciliği, YouTube kanalı açma gibi alanlarda kendilerini yetiştirebilmesinin önünün açılması gerekiyor.",Positive,tweet-pn
spora başladım mutluyum,Positive,tweet-pn
çok açık ve net bir şey diycem eğer hayatımda bu kadar saçma sikik bir düşünceye ait insan varsa siktir olup gitsin,Negative,tweet-pn
Sikem bele hayati ,Negative,tweet-pn
"Baro başkanları neden Meclis’e alınmadı” diyorlar… Onlar, Meclis’in düzenlemelerine uymakla zorunlular.",Positive,tweet-pn
gerizeka insanlar acayip mutlu aq imreniyorum,Negative,tweet-pn
80 aldım bro mutluyum,Positive,tweet-pn
O zaman para vermeyeceksin kardeşim. He demek para verdin izlemek istiyosun o zaman şikayet etmeyeceksin. Eşcinsellik insanların tercihi buna kimse karışamaz saygı duymak zorundasın. Cinsellik içeren film ya da dizilerde zaten +18 uyarıları bulunuyor.,Positive,tweet-pn
öğretmenler müjde bekliyor artık müjde gelsin okullarda ders anlatmak istiyoruz,Positive,tweet-pn
sen irem ziyagilsin aptal olma ,Positive,tweet-pn
Adam evli sevgilisi de evli kadinin eski sevgilisi de evli adamin eski karisi kocasinin sevgilisinin eski sevgilisiyle gidiyor vay beee Nasil bir ulke olduk ,Positive,tweet-pn
Hıyar lafına da alınıyosanız birazdan ediceğim küfürle kafayı yersin sen götveren ,Negative,tweet-pn
 emirhan yani ben de onu savunuyorum zaten ,Positive,tweet-pn
 açıldı diye sabahtan akşama kadar sevinç çığlıkları atanlara soruyorum,Positive,tweet-pn
"Kapta Üretilen ""Beyin"", Canlı Bir Bilgisayar ve Otomatik Pilot Gibi Davranıyor!",Positive,tweet-pn
Bak bu içiliyor Birde bunu içmeyi dene artık ,Positive,tweet-pn
ismin gibi saçma bir yorum yapmışsın kardeşim tebrikler,Negative,tweet-pn
profilinde bu uc emojiden biri bile varsa ihtimalle salak oluyor homofobik degilim ,Positive,tweet-pn
ne yalaka  çıktınız amk gelmeyin amk,Negative,tweet-pn
hadi ikile ulan,Negative,tweet-pn
Gencecik bir canın yitmesine değilde evli adama takılmış Kız hatasını anlamış reddetmiş reddettiği için öldürüldü İnsanın hata yapması öldürülmesini haklı kılmaz Adam hem karısını hem çevresini hemde bu kızı kandırmış adam sütten çıkmış ak kaşık gibi paylaşımlar yapmayın lütfen ,Positive,tweet-pn
Bu tweet’i beğenen tüm Atatürkçüler birbirlerini takip etsin,Positive,tweet-pn
Götlek seni olay şu içi Boştan çok ses gelir ,Negative,tweet-pn
kendime sardım ,Positive,tweet-pn
Tanju anan baban çoluğun çocuğun öyle can çekişerek ölsün ,Negative,tweet-pn
 Kamu personel sisteminde Memur Sen in teklifi ve ısrarıyla iki kez kadroya geçiş düzenlemesi yapıldı Çok da iyi yapıldı ,Positive,tweet-pn
Ne havalı Yırtma yapıştırma ,Positive,tweet-pn
Cahil zihniyetinize sokayım tatile gidiyorsunuz kapri askılı gelişememişler ,Negative,tweet-pn
çeyrek altın 281 tl olmuş lütfen bütçemizi sarsmayacak aralıklarla evlenin hem biraz daha tanıyın birbirinizi,Positive,tweet-pn
Terbiyesiz Yeşim Salkım,Negative,tweet-pn
 Koca yaşlı şişko pezevenk gavat orusbu piç ibne götveren yavşak dünyaaaaa ,Negative,tweet-pn
Siktir lan hadi küfürsüz iletişim kuramayan götlek ,Negative,tweet-pn
oy oranı çok azdı ondan kapanmıştır parti,Positive,tweet-pn
 Gerçekten hem psikolojik hem fiziksel olarak çok uğraştı ve yıprandı Emeklerinin karşılığını alırsın inşallah Cemal Can,Positive,tweet-pn
Yarrak gibi sabah dedim ya boşverin günüm şimdiden güzelleşti,Positive,tweet-pn
Sadece merakimdan soruyorum neden ormanlarin bol oldugu karadenizde (  araplar icin yakilan ormanlık bolge haric ) neden surekli yanginlar cikmazda surekli akdeniz ve egede ozelliklede kıyıya yakin alanlarda yangin çikar bilgisi olan varsa anlatsinda öğrenelim,Positive,tweet-pn
 Netflix gençlik dizisi afişi değil ,Positive,tweet-pn
 Doğu Türkistan ın izzetli iffetli kadınları maruz kaldıkları zulmü sürgünü işkenceyi tecavüzü anlatıyor,Positive,tweet-pn
Hicbirşey bunun yerini tutamaz geri dön aslanım...,Positive,tweet-pn
